"word_0";"dist_0";"word_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"речь";"1";"идти";"0.11731521692393689";"0.11547826158833481";"0.11917745623076849";"36.432102846314784";"35.86163852407658";"37.01041907612602";"13642.0";"13428.389648799513";"13858.550497794913"
"дело";"1";"идти";"0.03973857333276003";"0.038630912541172555";"0.04087664358190779";"12.340767281397202";"11.996784523353888";"12.694193660774438";"4621.0";"4492.19566485025";"4753.340498922147"
"речь";"-1";"идти";"0.036651330782130113";"0.035586529235450734";"0.037746745760385156";"11.38202773280997";"11.051354862941007";"11.7222075679038";"4262.0";"4138.179552144388";"4389.380330746388"
"дождь";"-1";"идти";"0.018205271531151913";"0.017452607542102667";"0.018989767682314394";"5.653625694593784";"5.419886776687349";"5.897250053062306";"2117.0";"2029.4764680334085";"2208.2251349379294"
"время";"1";"идти";"0.017852689512834845";"0.017107376057321457";"0.018629858425544005";"5.54413176286098";"5.312675544511989";"5.785480656032583";"2076.0";"1989.3312248256257";"2166.3730870143845"
"человек";"1";"идти";"0.011127832480543493";"0.01054084232539047";"0.011747122403978717";"3.455735308835312";"3.2734462054858753";"3.6480550672934755";"1294.0";"1225.7418498080308";"1366.0141287466652"
"дорога";"1";"идти";"0.008143784666981985";"0.007643213154187731";"0.008676853104000879";"2.529042764657682";"2.3735908692068155";"2.6945865417636687";"947.0";"888.7910416347204";"1008.9878631987423"
"разговор";"1";"идти";"0.008066388614180678";"0.007568258803325768";"0.008597020462814929";"2.5050075113504815";"2.3503138835694593";"2.669794608795031";"938.0";"880.0749749447369";"999.704524518434"
"работа";"1";"идти";"0.007937395192845165";"0.0074433616550116065";"0.00846393929104924";"2.46494875583848";"2.31152722083377";"2.628466407187398";"923.0";"865.5513100530246";"984.2291804596609"
"жизнь";"1";"идти";"0.007361224577546545";"0.00688591705634247";"0.007869080726695038";"2.286019647884874";"2.1384134553535064";"2.4437337786008198";"856.0";"800.7288648967841";"915.0560523037325"
"снег";"-1";"идти";"0.0071462355419873586";"0.006678106174925171";"0.007646927741312584";"2.219255055364872";"2.0738780301725845";"2.374744429876204";"831.0";"776.5635765511736";"889.2229923985338"
"дело";"-1";"идти";"0.00690544782216107";"0.006445489966474445";"0.007397984418947586";"2.1444787117424697";"2.0016393398116286";"2.297435373462957";"803.0";"749.5138007514809";"860.27461815732"
"человек";"-1";"идти";"0.006174485101259836";"0.005740264811622365";"0.006641332426680505";"1.9174790971744624";"1.7826324961552116";"2.062457985840545";"718.0";"667.5066936195067";"772.2873412365425"
"разговор";"-1";"идти";"0.006122887732725631";"0.005690541378660741";"0.006587864531610188";"1.9014555949696619";"1.7671909424418157";"2.045853593816612";"712.0";"661.7246042175643";"766.0698270582907"
"война";"-1";"идти";"0.0053403276432901926";"0.004937452138712409";"0.00577588529640742";"1.658432478196854";"1.5333199633680639";"1.7936943958742069";"621.0";"574.1516219501725";"671.6488216927369"
"бой";"-1";"идти";"0.004858752203637615";"0.004475113588253543";"0.005275104785234837";"1.508879790952049";"1.3897412694714784";"1.6381775962223875";"565.0";"520.3885836100633";"613.4155599510331"
"работа";"-1";"идти";"0.004798555273681043";"0.004417387964713372";"0.005212440526071078";"1.4901857050464484";"1.371814644871306";"1.6187172841290092";"558.0";"513.6759594766944";"606.1286465741753"
"дождь";"1";"идти";"0.004703960098035";"0.004326708182150932";"0.005113936207241626";"1.4608092843376475";"1.3436541448865662";"1.588126883595312";"547.0";"503.1312609614211";"594.6740718590925"
"поезд";"1";"идти";"0.004592165799544223";"0.004219592878688859";"0.004997470299967829";"1.4260916962272463";"1.3103896131875399";"1.5519585328634593";"534.0";"490.67535789833397";"581.130833831759"
"время";"-1";"идти";"0.004531968869587651";"0.004161939280726678";"0.004934734015226079";"1.4073976103216457";"1.2924853560460292";"1.532475853311419";"527.0";"483.9711092593017";"573.8355449605646"
"борьба";"-1";"идти";"0.004222384658382422";"0.003865713494685256";"0.004611811833075855";"1.3112565970928427";"1.2004927860643468";"1.4321927488691268";"491.0";"449.524493729475";"536.2845390092258"
"день";"1";"идти";"0.0037150105344627422";"0.0033813507689962508";"0.004081459833117444";"1.1536921587456375";"1.0500745104141855";"1.267492558102219";"432.0";"393.200374172729";"474.612556694062"
"год";"-1";"идти";"0.0034570236917917186";"0.0031356741303830834";"0.0038111798315709064";"1.073574647721635";"0.9737799188038319";"1.183557421025927";"402.0";"364.6318662515969";"443.1830467142228"
"год";"1";"идти";"0.003164638603431225";"0.0028578142910005745";"0.003504288812105751";"0.982774801894432";"0.88749087198898";"1.0882527753292472";"368.0";"332.3209348290018";"407.49622451571724"
"рука";"-1";"идти";"0.0030958421120522855";"0.0027925325475001758";"0.0034319821182302286";"0.9614101322880313";"0.8672177032087075";"1.0657980164597478";"360.0";"324.7296472860579";"399.08804061840215"
"процесс";"-1";"идти";"0.0030614438663628153";"0.0027599064108387865";"0.0033958140362036573";"0.9507277974848309";"0.8570856947830969";"1.0545660610604721";"356.0";"320.9357169843883";"394.8822351999423"
"бой";"1";"идти";"0.0030184460592509784";"0.0027191378831324317";"0.0033505897905500613";"0.9373748789808305";"0.8444250763805095";"1.0405217246819523";"351.0";"316.1949487400548";"389.6233337941139"
"снег";"1";"идти";"0.0029410500064496713";"0.0026457951548333994";"0.003269145526801183";"0.9133396256736297";"0.8216485782374584";"1.0152293042190097";"342.0";"307.66628957980186";"380.1525875840756"
"день";"-1";"идти";"0.0027260609708904845";"0.002442355529739365";"0.003042621285095464";"0.8465750331536275";"0.7584706415743306";"0.9448824669765995";"317.0";"284.00931277574205";"353.811216137326"
"процесс";"1";"идти";"0.00260566711097734";"0.00232862983620592";"0.0029155672132210476";"0.8091868613424263";"0.7231532610015675";"0.9054259741622616";"303.0";"270.7847205032054";"339.0367333894095"
"война";"1";"идти";"0.002433675882529991";"0.0021664389351032168";"0.002733787020883948";"0.7557751873264246";"0.672785067133407";"0.8489743489059918";"283.0";"251.92435156847756";"317.8984237234899"
"спектакль";"1";"идти";"0.0022960828997721115";"0.002036939293084171";"0.0025881097881511514";"0.7130458481136231";"0.6325691053826157";"0.8037344553572386";"267.0";"236.8654856962928";"300.95834671515667"
"подготовка";"-1";"идти";"0.0022616846540826417";"0.0020046021130028175";"0.002551652749544545";"0.7023635133104228";"0.6225268320835985";"0.7924127648313702";"263.0";"233.10515671053264";"296.7189399807874"
"спор";"-1";"идти";"0.0022100872855484372";"0.0019561260354868204";"0.0024969374990286013";"0.6863400111056224";"0.6074726431390065";"0.775421008038633";"257.0";"227.46811603658492";"290.3563770745409"
"солдат";"1";"идти";"0.0021842886012813346";"0.0019319016941867818";"0.002469566176312669";"0.6783282600032221";"0.5999498023961944";"0.7669208759127804";"254.0";"224.65118850850993";"287.17350281251873"
"голова";"1";"идти";"0.002175689039858967";"0.00192382898257936";"0.002460440333248101";"0.675657676302422";"0.5974428312867183";"0.7640868560660351";"253.0";"223.71245323924086";"286.11230415175544"
"машина";"1";"идти";"0.002115492109902395";"0.0018673496001853432";"0.002396529832938187";"0.6569635903968214";"0.5799032254109581";"0.7442395252482445";"246.0";"217.14474825755264";"278.68047162321704"
"опера";"1";"идти";"0.0020466956185234554";"0.0018028672374730333";"0.0023234237582745757";"0.6355989207904207";"0.5598783033956717";"0.721536519613759";"238.0";"209.6464167095517";"270.17933173095906"
"переговоры";"-1";"идти";"0.0018833039514984736";"0.0016500223227289056";"0.002149496134250891";"0.584857830475219";"0.5124124946156846";"0.6675235002255371";"219.0";"191.8728457985308";"249.95415797136488"
"борьба";"1";"идти";"0.0018833039514984736";"0.0016500223227289056";"0.002149496134250891";"0.584857830475219";"0.5124124946156846";"0.6675235002255371";"219.0";"191.8728457985308";"249.95415797136488"
"путь";"1";"идти";"0.0018317065829642689";"0.0016018499589474642";"0.0020944771700003913";"0.5688343282704185";"0.49745262361469217";"0.6504374254892005";"213.0";"186.27112247620587";"243.55627771349552"
"пьеса";"1";"идти";"0.0018317065829642689";"0.0016018499589474642";"0.0020944771700003913";"0.5688343282704185";"0.49745262361469217";"0.6504374254892005";"213.0";"186.27112247620587";"243.55627771349552"
"пароход";"1";"идти";"0.0018059078986971664";"0.0015777818789671492";"0.002066949585964736";"0.5608225771680182";"0.4899783096412143";"0.641888766594014";"210.0";"183.47236579569494";"240.35523260390934"
"пар";"-1";"идти";"0.0016769144773616546";"0.0014576331792554792";"0.001929119965596554";"0.520763821656017";"0.45266627204267645";"0.599085939849229";"195.0";"169.5008742497234";"224.3277151993953"
"дорога";"-1";"идти";"0.0016769144773616546";"0.0014576331792554792";"0.001929119965596554";"0.520763821656017";"0.45266627204267645";"0.599085939849229";"195.0";"169.5008742497234";"224.3277151993953"
"деньги";"1";"идти";"0.0016425162316721848";"0.001425650486380387";"0.0018923084397836857";"0.5100814868528166";"0.4427340843292707";"0.5876541637377487";"191.0";"165.7817668087433";"220.0470869202459"
"жизнь";"-1";"идти";"0.0016425162316721848";"0.001425650486380387";"0.0018923084397836857";"0.5100814868528166";"0.4427340843292707";"0.5876541637377487";"191.0";"165.7817668087433";"220.0470869202459"
"вопрос";"1";"идти";"0.0016167175474050824";"0.0014016801018657944";"0.0018646831602823083";"0.5020697357504164";"0.43529010956794406";"0.5790751656304108";"188.0";"162.9943706454639";"216.83468129342822"
"спор";"1";"идти";"0.0015995184245603475";"0.001385707955366806";"0.0018462581974373164";"0.4967285683488162";"0.4303299782296127";"0.573353315056299";"186.0";"161.13704958982905";"214.69213448899833"
"лошадь";"1";"идти";"0.0015995184245603475";"0.001385707955366806";"0.0018462581974373164";"0.4967285683488162";"0.4303299782296127";"0.573353315056299";"186.0";"161.13704958982905";"214.69213448899833"
"женщина";"1";"идти";"0.0015565206174485101";"0.0013458067407387108";"0.0018001666387054609";"0.48337564984481574";"0.4179387028849474";"0.5590396356198568";"181.0";"156.49713684680097";"209.3323775818645"
"заседание";"-1";"идти";"0.0015479210560261428";"0.001337831604398475";"0.0017909432203737064";"0.48070506614401565";"0.4154620336601082";"0.5561753138884745";"180.0";"155.56974811747668";"208.25983238115646"
"народ";"1";"идти";"0.0015393214946037752";"0.001329858203080295";"0.0017817180670198964";"0.47803448244321556";"0.4129859032443308";"0.5533104533480304";"179.0";"154.6425611451921";"207.18708542340866"
"игра";"1";"идти";"0.0014533258803801005";"0.001250222900515416";"0.0016893678228648743";"0.45132864543521467";"0.3882552535527213";"0.5246311934774248";"169.0";"145.38216998643514";"196.44813728184192"
"корабль";"1";"идти";"0.0014533258803801005";"0.001250222900515416";"0.0016893678228648743";"0.45132864543521467";"0.3882552535527213";"0.5246311934774248";"169.0";"145.38216998643514";"196.44813728184192"
"поезд";"-1";"идти";"0.0014361267575353656";"0.0012343181928913523";"0.0016708754211449577";"0.4459874780336145";"0.3833160652778008";"0.5188883998399023";"167.0";"143.5326910603709";"194.2977483478414"
"пьеса";"-1";"идти";"0.0013759298275787934";"0.0011787137603448614";"0.0016060899709875176";"0.42729339212801387";"0.3660481740496903";"0.49876935437446207";"160.0";"137.0667296217022";"186.7641722762835"
"торговля";"1";"идти";"0.0013587307047340585";"0.001162845108682966";"0.0015875615133054326";"0.42195222472641375";"0.36112018291147896";"0.4930153636002305";"158.0";"135.2214434631987";"184.60959057472223"
"суд";"1";"идти";"0.0013501311433116911";"0.0011549139332128458";"0.0015782941341035627";"0.41928164102561366";"0.35865716568322853";"0.4901373898722594";"157.0";"134.29916672365576";"183.5319333842328"
"женщина";"-1";"идти";"0.0013071333361998538";"0.0011152903696655266";"0.0015319249242909312";"0.4059287225216132";"0.34635211455563797";"0.4757374862187424";"152.0";"129.69154063655577";"178.13988982117093"
"вода";"1";"идти";"0.0012985337747774862";"0.0011073722666894124";"0.0015226444725950552";"0.40325813882081313";"0.34389315697504946";"0.4728554528431094";"151.0";"128.77078403197834";"177.060712495716"
"солдат";"-1";"идти";"0.001272735090510384";"0.0010836315708074931";"0.0014947895044610045";"0.39524638771841286";"0.336520511748864";"0.4642051252006304";"148.0";"126.01009721134933";"173.8215975262479"
"ремонт";"-1";"идти";"0.0012383368448209142";"0.0010520099347253518";"0.0014576169218551852";"0.3845640529152125";"0.3267004497985012";"0.4526612233261071";"144.0";"122.33297525953753";"169.4989837579302"
"игра";"-1";"идти";"0.0012039385991314442";"0.0010204270086601784";"0.001420405629232398";"0.37388171811201215";"0.31689240919844863";"0.44110530010127363";"140.0";"118.66035470204885";"165.1718685952894"
"ребенок";"1";"идти";"0.0011953390377090769";"0.0010125375172715617";"0.0014110965659490245";"0.37121113441121206";"0.3144423369127573";"0.4382143814307434";"139.0";"117.74292519592356";"164.08936417138233"
"спектакль";"-1";"идти";"0.0011695403534419744";"0.0009888844504113104";"0.0013831539687933054";"0.3631993833088118";"0.3070969047763436";"0.4295368406984926";"136.0";"114.99242831607924";"160.8400592611295"
"репетиция";"-1";"идти";"0.001126542546330137";"0.0009495157438145434";"0.0013365299020301215";"0.34984646480481135";"0.29487099917545506";"0.4150577915182734";"131.0";"110.41443826947419";"155.41837965757267"
"счет";"1";"идти";"0.0011179429849077697";"0.000941650232381656";"0.0013271968587910189";"0.34717588110401126";"0.29242837383685466";"0.4121594259006524";"130.0";"109.49979727250086";"154.33308672451363"
"самолет";"1";"идти";"0.0010921443006406673";"0.000918070727220329";"0.0012991806999363758";"0.33916413000161105";"0.28510578619965443";"0.40345904066918803";"127.0";"106.75785451481596";"151.07522769210146"
"слух";"-1";"идти";"0.0010835447392183";"0.0009102166791130449";"0.0012898361933716697";"0.33649354630081096";"0.28266672078335814";"0.4005571151292629";"126.0";"105.84454653066042";"149.98860174622462"
"толпа";"-1";"идти";"0.0010749451777959324";"0.000902365581394707";"0.0012804887364180175";"0.3338229626000109";"0.28022857160688425";"0.39765427334951525";"125.0";"104.93158163248351";"148.90163271436916"
"тропа";"1";"идти";"0.0010749451777959324";"0.000902365581394707";"0.0012804887364180175";"0.3338229626000109";"0.28022857160688425";"0.39765427334951525";"125.0";"104.93158163248351";"148.90163271436916"
"служба";"1";"идти";"0.001066345616373565";"0.0008945174692320483";"0.0012711382939086862";"0.3311523788992108";"0.2777913495912204";"0.39475050440895765";"124.0";"104.01896390964875";"147.81431650717158"
"письмо";"1";"идти";"0.0010577460549511975";"0.0008866723784966358";"0.0012617848299721086";"0.3284817951984107";"0.27535506587623965";"0.39184579716771684";"123.0";"103.1066975334813";"146.72664895330664"
"товарищ";"-1";"идти";"0.0010577460549511975";"0.0008866723784966358";"0.0012617848299721086";"0.3284817951984107";"0.27535506587623965";"0.39184579716771684";"123.0";"103.1066975334813";"146.72664895330664"
"дым";"-1";"идти";"0.00104914649352883";"0.00087883034578481";"0.0012524283080119442";"0.3258112114976106";"0.2729197318268926";"0.38894014026084245";"122.0";"102.19478675958663";"145.6386257971689"
"строительство";"-1";"идти";"0.0010147482478393601";"0.0008474935536465385";"0.001214970881462255";"0.31512887669441025";"0.26318812782879136";"0.3773077804340575";"118.0";"98.55078788578773";"141.28288895083833"
"мама";"1";"идти";"0.0010147482478393601";"0.0008474935536465385";"0.001214970881462255";"0.31512887669441025";"0.26318812782879136";"0.3773077804340575";"118.0";"98.55078788578773";"141.28288895083833"
"полк";"1";"идти";"0.0010147482478393601";"0.0008474935536465385";"0.001214970881462255";"0.31512887669441025";"0.26318812782879136";"0.3773077804340575";"118.0";"98.55078788578773";"141.28288895083833"
"мальчик";"1";"идти";"0.0009717504407275229";"0.0008083960875765904";"0.001168075574172253";"0.3017759581904098";"0.2510464556549745";"0.3627444978267669";"113.0";"94.00433904384381";"135.82966814262042"
"судно";"1";"идти";"0.0009717504407275229";"0.0008083960875765904";"0.001168075574172253";"0.3017759581904098";"0.2510464556549745";"0.3627444978267669";"113.0";"94.00433904384381";"135.82966814262042"
"кровь";"-1";"идти";"0.0009631508793051555";"0.0008005868231762675";"0.0011586862839005855";"0.2991053744896097";"0.2486212977662831";"0.3598286647592368";"112.0";"93.09623873305227";"134.73783452337958"
"свет";"1";"идти";"0.0009631508793051555";"0.0008005868231762675";"0.0011586862839005855";"0.2991053744896097";"0.2486212977662831";"0.3598286647592368";"112.0";"93.09623873305227";"134.73783452337958"
"танк";"1";"идти";"0.0009631508793051555";"0.0008005868231762675";"0.0011586862839005855";"0.2991053744896097";"0.2486212977662831";"0.3598286647592368";"112.0";"93.09623873305227";"134.73783452337958"
"обсуждение";"-1";"идти";"0.0009373521950380531";"0.0007771803091988806";"0.001130497133862002";"0.29109362338720945";"0.24135243233810294";"0.3510745573187524";"109.0";"90.37441225519183";"131.4598592111429"
"мужик";"1";"идти";"0.0009287526336156856";"0.0007693853917039231";"0.0011210934966849693";"0.28842303968640937";"0.23893172986402442";"0.3481542688366093";"108.0";"89.4679802742907";"130.36635726201166"
"торговля";"-1";"идти";"0.0009201530721933181";"0.0007615941842673143";"0.001111686149449588";"0.2857524559856093";"0.2365121795442092";"0.3452328282002031";"107.0";"88.56197971752464";"129.27242388874535"
"немец";"1";"идти";"0.0009115535107709507";"0.0007538067385090037";"0.0011022750405359084";"0.2830818722848092";"0.23409379740917194";"0.3423102193790188";"106.0";"87.6564165875195";"128.17805308871812"
"занятие";"1";"идти";"0.0009029539493485832";"0.0007460231072581073";"0.0010928601171148148";"0.2804112885840091";"0.23167659986493258";"0.33938642596703666";"105.0";"86.75129702750901";"127.08323871869624"
"девушка";"1";"идти";"0.0008943543879262158";"0.0007382433445929405";"0.0010834413251079914";"0.277740704883209";"0.22926060370544846";"0.33646143117029925";"104.0";"85.84662732599008";"125.98797449018278"
"поиск";"-1";"идти";"0.0008857548265038483";"0.0007304675058827726";"0.0010740186091461692";"0.2750701211824089";"0.22684582612558116";"0.33353521779394507";"103.0";"84.94241392157821";"124.89225396456229"
"мысль";"1";"идти";"0.0008857548265038483";"0.0007304675058827726";"0.0010740186091461692";"0.2750701211824089";"0.22684582612558116";"0.33353521779394507";"103.0";"84.94241392157821";"124.89225396456229"
"реакция";"1";"идти";"0.0008857548265038483";"0.0007304675058827726";"0.0010740186091461692";"0.2750701211824089";"0.22684582612558116";"0.33353521779394507";"103.0";"84.94241392157821";"124.89225396456229"
"приготовление";"-1";"идти";"0.0008685557036591134";"0.0007149278285225805";"0.0010551611771623813";"0.26972895378080874";"0.2220199975704319";"0.3276790644366514";"101.0";"83.13538253974828";"122.69941748632752"
"народ";"-1";"идти";"0.0008685557036591134";"0.0007149278285225805";"0.0010551611771623813";"0.26972895378080874";"0.2220199975704319";"0.3276790644366514";"101.0";"83.13538253974828";"122.69941748632752"
"старик";"1";"идти";"0.0008685557036591134";"0.0007149278285225805";"0.0010551611771623813";"0.26972895378080874";"0.2220199975704319";"0.3276790644366514";"101.0";"83.13538253974828";"122.69941748632752"
"отец";"1";"идти";"0.0008685557036591134";"0.0007149278285225805";"0.0010551611771623813";"0.26972895378080874";"0.2220199975704319";"0.3276790644366514";"101.0";"83.13538253974828";"122.69941748632752"
"войска";"1";"идти";"0.0008685557036591134";"0.0007149278285225805";"0.0010551611771623813";"0.26972895378080874";"0.2220199975704319";"0.3276790644366514";"101.0";"83.13538253974828";"122.69941748632752"
"дым";"1";"идти";"0.0008513565808143784";"0.0006994045456548033";"0.0010362873506861781";"0.2643877863792086";"0.2171992603056491";"0.3218178197889911";"99.0";"81.3302575914688";"120.50467457454222"
"пар";"1";"идти";"0.000842757019392011";"0.0006916492056014746";"0.0010268441360675167";"0.26171720267840853";"0.21479084855959057";"0.31888524057882817";"98.0";"80.42842787336747";"119.40657036261118"
